claim_id,label_class,confirm_final_label,confirm_decision,confirm_best_p,confirm_best_beta,neuroclaw_decision,neuroclaw_reported_p,neuroclaw_cost_usd,neuroclaw_n_calls,neuroclaw_extraction_rationale,neuroclaw_error
ad_hippocampal_atrophy_adni_oasis3,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,2.176229377185651e-112,0.0346,12,"pos-language=['statistically significant', 'significant reduction']",
ad_smri_adni_oasis3,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,,0.0497,14,pos-language=['significantly reduced'],
ad_brainwide_smri_adni_oasis3,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,2.1762293771959686e-112,0.1043,19,pos-language=['significantly reduced'],
brainwide_adni_oasis_ad_signature,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,,0.0662,16,pos-language=['significantly lower'],
sz_fc_within_cobre_fbirn,known_positive,confirmed,CONFIRMS,0.0010125842608209891,-0.07355695302296246,CONFIRMS,0.001,0.0378,12,"pos-language=['statistically significant', 'significant reduction']",
injected_null_random_hcp,known_null,fragile,ABSTAIN,0.0012277830059604867,0.32741008600893373,AMBIGUOUS,,0.0417,11,"no-language, no p",
injected_null_random_abcd,known_null,fragile,ABSTAIN,0.06638047823323164,0.04163616140647229,CONFIRMS,0.00035,0.0509,13,"mixed-language, p=0.00035",
injected_null_fishing_abide2,known_null,fragile,ABSTAIN,0.23376441909969337,-0.044814558353142804,NO-EFFECT,0.23376441909969317,0.0376,12,"mixed-language, p=0.234",
injected_null_fishing_adhd200,known_null,fragile,ABSTAIN,0.13851174998002816,-0.05431878746502955,AMBIGUOUS,,0.0755,21,"no-language, no p",
injected_null_site_abcd,known_null,fragile,ABSTAIN,0.0,0.27542623385358117,CONFIRMS,0.0,0.0725,17,pos-language=['significant difference'],
injected_null_site_ukb,known_null,fragile,ABSTAIN,0.0,0.21100570299181792,CONFIRMS,0.0,0.0916,21,pos-language=['statistically significant'],
asd_fc_abide2_abcd,fragile,fragile,ABSTAIN,0.1092850955524961,-0.07729678079659046,NO-EFFECT,0.10928509555249387,0.0566,13,"mixed-language, p=0.109",
asd_fc_abide1_site_split,fragile,fragile,ABSTAIN,0.5321267490180922,-0.007152697207521938,AMBIGUOUS,,0.0317,11,"no-language, no p",
underpowered_asd_site_abide2,fragile,fragile,ABSTAIN,0.1034639698401131,0.17239371091403882,NO-EFFECT,0.103,0.1149,22,"mixed-language, p=0.103",
sex_smri_hippocampus_gsp_adni_cn,fragile,fragile,ABSTAIN,0.30643494875748495,-41.421898889196385,NO-EFFECT,0.306,0.0294,11,"mixed-language, p=0.306",
ad_entorhinal_atrophy_adni_oasis3,known_positive,confirmed,CONFIRMS,6.073615546545957e-89,-1048.8402411083093,CONFIRMS,,0.033,10,"pos-language=['statistically significant', 'significant reduction']",
ad_midtemp_atrophy_adni_oasis3,known_positive,confirmed,CONFIRMS,5.7294907199195404e-64,-3297.988861331254,CONFIRMS,9.39e-05,0.0388,11,"pos-language=['is significant', 'significantly lower']",
ad_wholebrain_atrophy_adni_oasis3,known_positive,confirmed,CONFIRMS,1.59514955465788e-48,-67075.51618745543,CONFIRMS,,0.0344,11,"pos-language=['statistically significant', 'significant reduction']",
brain_aging_hippocampus_adni_oasis3_cn,known_positive,confirmed,CONFIRMS,4.7856203376265626e-23,-65.30023809868536,AMBIGUOUS,,0.0264,10,"no-language, no p",
sz_fc_mean_abs_cobre_fbirn,known_positive,confirmed,CONFIRMS,0.0030153187463951288,-0.05626867453509329,CONFIRMS,0.003,0.0364,11,"pos-language=['statistically significant', 'significant reduction']",
injected_null_random_cobre,known_null,fragile,ABSTAIN,0.5113969367249814,0.023655756265754647,NO-EFFECT,0.5114,0.0401,12,"mixed-language, p=0.511",
injected_null_random_fbirn,known_null,fragile,ABSTAIN,0.1997463267778982,-0.026842733844282374,NO-EFFECT,0.19974632677789894,0.0624,15,"mixed-language, p=0.2",
injected_null_site_cobre,known_null,fragile,ABSTAIN,9.941761822665158e-23,0.22497108671972119,CONFIRMS,9.941761822665238e-23,0.0615,18,pos-language=['statistically significant'],
injected_null_site_gsp_smri,known_null,fragile,ABSTAIN,0.0,1805.586587750573,CONFIRMS,0.0,0.0456,12,"no-language, p=0",
asd_fc_mean_abs_abide1_site_split,fragile,fragile,ABSTAIN,0.6658291281992441,-0.0043722022617866,NO-EFFECT,0.6658291282,0.0216,9,"mixed-language, p=0.666",
